的	214
我	415
你	421
是	284
了	203
不	311
在	402
他	240
我们	253
好	254
有	217
这	384
会	360
吗	277
什么	211
说	323
她	240
想	395
一	372
很	295
人	392
那	269
来	310
都	227
个	355
能	189
去	293
和	237
做	416
上	388
没有	241
看	248
怎么	235
现在	189
点	286
呢	325
太	316
里	395
听	292
谁	268
多	386
时候	81
下	403
谢谢	227
先生	184
喜欢	367
大	216
东西	207
小	249
叫	331
爱	311
年	280
请	248
回	361
工作	207
钱	283
吃	194
开	428
家	488
哪	64
朋友	331
妈妈	336
今天	357
几	485
爸爸	321
些	372
怎么样	336
对不起	331
住	254
三	324
高兴	282
买	215
医生	309
哪儿	260
字	302
名字	261
认识	225
坐	430
喝	248
写	210
月	297
号	335
狗	208
岁	445
看见	241
打电话	237
喂	286
儿子	328
漂亮	280
分钟	270
再见	287
本	207
明天	319
少	394
多少	205
块	376
女儿	228
小姐	494
衣服	226
水	299
学校	447
电影	259
书	253
四	309
五	308
医院	274
没关系	43
飞机	312
二	226
电视	74
读	174
后面	136
昨天	274
睡觉	225
六	311
老师	249
星期	147
十	253
猫	201
电脑	402
热	252
学生	285
下午	255
学习	336
冷	208
不客气	43
前面	119
八	274
中国	390
七	468
菜	324
桌子	250
出租车	63
天气	385
茶	240
九	233
商店	233
椅子	259
同学	78
一点儿	231
苹果	306
饭店	240
中午	421
上午	439
水果	370
杯子	203
下雨	238
米饭	377
北京	283
汉语	259
就	199
要	418
知道	387
吧	269
到	393
对	122
也	476
还	413
让	267
给	336
过	107
得	175
真	365
着	121
可以	328
别	351
走	475
告诉	313
因为所以	341
再	165
快	373
但是	75
已经	248
为什么	356
觉得	263
它	232
从	268
找	247
最	275
可能	201
次	362
出	183
孩子	224
所以	144
两	388
错	328
等	231
题	162
问	323
问题	223
一起	196
开始	177
时间	172
事情	69
一下	295
非常	270
希望	53
准备	70
比	336
件	86
意思	405
第一	313
进	250
大家	197
新	210
您	388
穿	313
送	199
玩	361
长	205
小时	259
完	459
每	200
公司	228
帮助	282
晚上	186
说话	234
门	269
女	362
忙	308
卖	281
高	270
房间	404
路	240
懂	308
正在	381
笑	221
远	15
妻子	267
丈夫	233
离	110
往	120
男	219
眼睛	220
快乐	250
虽然但是	179
早上	288
药	163
身体	252
黑	281
咖啡	271
日	359
休息	186
外	63
生日	325
哥哥	251
票	146
手机	291
洗	300
跳舞	232
弟弟	216
妹妹	262
红	336
慢	216
近	129
白	192
姐姐	399
